game_id,configuration_file,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
u5FMimemoLocsBt5k,exp2_train_and_test_37.json,6X9n4e7Xo96ZEbjmu,17,2,page8-22.svg,False,0.3444444444444444,low,single-utterance-unidirectional,220,22,"['page1-185.svg', 'page1-95.svg', 'page7-113.svg', 'page6-121.svg', 'page7-20.svg', 'page7-191.svg', 'page6-107.svg', 'page8-22.svg', 'page8-18.svg', 'page4-96.svg']",13.0,Flying bird,2.0,17.0,"(23,)",page8-22.svg,True
ktDyGtbfXzQbusvGQ,exp2_train_and_test_41.json,CFoGN9qwQbiW5k6wQ,34,5,page8-169.svg,False,1.0,high,single-utterance-unidirectional,139,24,"['page3-59.svg', 'page7-203.svg', 'page7-217.svg', 'page5-155.svg', 'page5-85.svg', 'page8-169.svg', 'page7-157.svg', 'page1-175.svg', 'page6-107.svg', 'page8-234.svg']",4.0,"The large C, looks like a crescent moon.",8.0,13.0,"(26,)",page8-169.svg,True
GcKCJfJgQWuA8Qsvd,exp2_train_and_test_31.json,iSnrtr5FvmaeS54Go,16,2,page5-80.svg,False,0.5555555555555556,low,single-utterance-unidirectional,88,41,"['page5-84.svg', 'page3-201.svg', 'page1-48.svg', 'page9-23.svg', 'page5-75.svg', 'page6-162.svg', 'page4-96.svg', 'page6-52.svg', 'page6-192.svg', 'page5-80.svg']",8.0,"a completely black fox, no white what so ever",9.0,16.0,"(25,)",page5-80.svg,True
a9ZsRASKMu4YPRsHA,exp2_train_and_test_42.json,adFDqtsCjBb3yPnMC,36,5,page5-85.svg,False,0.5166666666666668,low,single-utterance-unidirectional,150,50,"['page3-59.svg', 'page7-203.svg', 'page7-217.svg', 'page5-155.svg', 'page5-85.svg', 'page8-169.svg', 'page7-157.svg', 'page1-175.svg', 'page6-107.svg', 'page8-234.svg']",4.0,cat with head up,4.0,10.0,"(25,)",page5-85.svg,True
qid3BsLiutsLyxdnC,exp2_train_and_test_30.json,hrE6RXFYYhWnhKPrQ,23,3,page4-155.svg,False,0.3777777777777779,low,single-utterance-unidirectional,56,117,"['page5-101.svg', 'page6-166.svg', 'page8-156.svg', 'page1-172.svg', 'page6-21.svg', 'page3-201.svg', 'page2-34.svg', 'page2-136.svg', 'page4-155.svg', 'page6-245.svg']",8.0,flattened M,2.0,9.0,"(32,)",page4-155.svg,True
qid3BsLiutsLyxdnC,exp2_train_and_test_30.json,ZeXxgSiajuaFECkxm,21,3,page3-201.svg,False,0.5548148148148148,low,single-utterance-unidirectional,56,117,"['page5-101.svg', 'page6-166.svg', 'page8-156.svg', 'page1-172.svg', 'page6-21.svg', 'page3-201.svg', 'page2-34.svg', 'page2-136.svg', 'page4-155.svg', 'page6-245.svg']",,,,,,,
9yLcExJ7nPHeetN2s,exp2_train_and_test_36.json,TwbmCWy29uErzf9Zd,18,3,page8-183.svg,False,1.0,high,single-utterance-unidirectional,143,25,"['page3-61.svg', 'page7-116.svg', 'page5-75.svg', 'page9-32.svg', 'page3-201.svg', 'page2-100.svg', 'page8-183.svg', 'page5-26.svg', 'page3-66.svg', 'page3-163.svg']",8.0,P,1.0,9.0,"(13,)",page8-183.svg,True
BfydDFFrwAkiowHcJ,exp2_train_and_test_55.json,KofYPadMu4n5YqJXm,29,4,page5-128.svg,False,0.9925925925925926,high,single-utterance-unidirectional,199,219,"['page1-77.svg', 'page3-61.svg', 'page3-59.svg', 'page4-241.svg', 'page5-139.svg', 'page6-107.svg', 'page4-244.svg', 'page7-155.svg', 'page5-128.svg', 'page4-98.svg']",4.0,whale diving into the sea,5.0,8.0,"(19,)",page5-128.svg,True
22ivtGw9ahgyetDB6,exp2_train_and_test_28.json,9DwesjAb5iQMSC3Af,6,1,page5-63.svg,False,0.9935185185185184,high,single-utterance-unidirectional,53,161,"['page6-155.svg', 'page7-113.svg', 'page2-34.svg', 'page7-115.svg', 'page7-44.svg', 'page3-33.svg', 'page6-52.svg', 'page5-121.svg', 'page6-175.svg', 'page5-63.svg']",,,,,,,
8BHQ9J4s9iJXhh9oM,exp2_train_and_test_20.json,7qJWCCqeATDcxbgJm,16,2,page5-45.svg,False,1.0,high,single-utterance-unidirectional,217,147,"['page7-29.svg', 'page7-225.svg', 'page2-64.svg', 'page4-155.svg', 'page5-45.svg', 'page5-154.svg', 'page4-98.svg', 'page7-226.svg', 'page3-201.svg', 'page7-15.svg']",10.0,house,1.0,11.0,"(22,)",page5-45.svg,True
FcWs7wviKdmRDeZ2P,exp2_train_and_test_13.json,dksQmpa5PRcKwAuEy,37,5,page7-20.svg,False,1.0,high,single-utterance-unidirectional,209,114,"['page6-167.svg', 'page1-77.svg', 'page4-96.svg', 'page1-175.svg', 'page7-20.svg', 'page1-149.svg', 'page1-133.svg', 'page4-5.svg', 'page3-201.svg', 'page7-4.svg']",5.0,a diagnol block pointing upwards right,6.0,23.0,"(29,)",page1-175.svg,False
