game_id,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
GJ9acNnSs4GtJvHLn,Kgq9eETJzvrHeZavk,24,4,page2-136.svg,False,1.0,high,single-utterance-unidirectional,147,46,"['page7-186.svg', 'page7-36.svg', 'page1-133.svg', 'page1-186.svg', 'page7-126.svg', 'page6-186.svg', 'page2-165.svg', 'page6-52.svg', 'page2-136.svg', 'page6-219.svg']",4.0,rectangle coming out of top right,6.0,9.0,"(50,)",page2-136.svg,True
RgiXtnKrXiiHQZpcz,iBpfmH2LzFWNJozHf,29,4,page7-79.svg,False,0.7777777777777777,low,single-utterance-unidirectional,135,51,"['page1-77.svg', 'page8-183.svg', 'page6-206.svg', 'page6-121.svg', 'page6-135.svg', 'page7-79.svg', 'page1-133.svg', 'page4-5.svg', 'page7-202.svg', 'page7-20.svg']",21.0,Loch ness monster,3.0,28.0,"(41,)",page7-20.svg,False
ZcWh2SAbYaKsBjERa,SHXMCC65vGWAyQhDe,8,1,page6-52.svg,True,1.0,high,single-utterance-unidirectional,164,125,"['page6-155.svg', 'page7-113.svg', 'page2-34.svg', 'page7-115.svg', 'page7-44.svg', 'page3-33.svg', 'page6-52.svg', 'page5-121.svg', 'page6-175.svg', 'page5-63.svg']",15.0,It has a flat long top and a pointy edge. There is a square poking out the end,18.0,40.0,"(54,)",page6-52.svg,True
YjNav28ajaN8MaDor,PzB5qithHJjgrWG2C,16,2,page8-248.svg,False,0.6851851851851852,low,single-utterance-unidirectional,189,207,"['page7-22.svg', 'page3-66.svg', 'page5-232.svg', 'page7-225.svg', 'page8-248.svg', 'page4-142.svg', 'page7-157.svg', 'page8-21.svg', 'page5-45.svg', 'page5-85.svg']",4.0,Horse,1.0,10.0,"(14,)",page8-248.svg,True
RgiXtnKrXiiHQZpcz,8uK8Tz92Rh3Y4T4xt,22,3,page6-206.svg,False,0.7333333333333333,low,single-utterance-unidirectional,51,135,"['page7-202.svg', 'page8-183.svg', 'page7-79.svg', 'page6-121.svg', 'page1-133.svg', 'page6-206.svg', 'page7-20.svg', 'page6-135.svg', 'page1-77.svg', 'page4-5.svg']",18.0,triangle cut out,3.0,21.0,"(42,)",page6-206.svg,True
7ECfJqZSjjsz8oBCM,3CZ2hiPP7saGPLdLC,29,4,page2-100.svg,False,0.7685185185185184,low,single-utterance-unidirectional,18,168,"['page5-40.svg', 'page5-26.svg', 'page7-20.svg', 'page7-125.svg', 'page2-100.svg', 'page4-244.svg', 'page7-126.svg', 'page7-116.svg', 'page8-169.svg', 'page7-202.svg']",5.0,stop sign with bent pole,5.0,10.0,"(14,)",page2-100.svg,True
GJ9acNnSs4GtJvHLn,rGCYpAssaJo4Jwyrd,5,0,page6-52.svg,False,1.0,high,single-utterance-unidirectional,147,46,"['page7-186.svg', 'page7-36.svg', 'page1-133.svg', 'page1-186.svg', 'page7-126.svg', 'page6-186.svg', 'page2-165.svg', 'page6-52.svg', 'page2-136.svg', 'page6-219.svg']",8.0,weird shape with square sticking out,6.0,26.0,"(44,)",page6-52.svg,True
vmDdBxQwuwh9zvF8P,cz5MKKcdmbd5FXnzF,27,4,page9-40.svg,False,1.0,high,single-utterance-unidirectional,137,95,"['page1-77.svg', 'page6-219.svg', 'page2-36.svg', 'page1-95.svg', 'page1-34.svg', 'page5-26.svg', 'page4-11.svg', 'page5-85.svg', 'page9-40.svg', 'page2-133.svg']",13.0,Candle stick,2.0,16.0,"(23,)",page9-40.svg,True
kp8BgbK6wvnYPuQGY,Qxd7kPCHcBgQjLuok,0,0,page6-160.svg,False,0.5592592592592593,low,single-utterance-unidirectional,151,130,"['page6-122.svg', 'page9-40.svg', 'page7-226.svg', 'page7-125.svg', 'page8-246.svg', 'page6-160.svg', 'page7-145.svg', 'page5-101.svg', 'page8-183.svg', 'page8-21.svg']",19.0,a fish swimming to the left,6.0,25.0,,,
8RoqYM3LR5QpJwzT5,4pMW6rEPtyhQioMJD,20,3,page5-139.svg,False,0.9925925925925926,high,single-utterance-unidirectional,107,63,"['page8-246.svg', 'page7-125.svg', 'page6-160.svg', 'page5-85.svg', 'page1-185.svg', 'page5-139.svg', 'page4-180.svg', 'page5-154.svg', 'page7-177.svg', 'page7-126.svg']",6.0,fountain with tube,3.0,11.0,"(23,)",page5-139.svg,True
NsiBXAJpHkx8tDfWh,4SZRtSboNKLo5q4gx,6,1,page7-40.svg,False,0.7611111111111111,low,single-utterance-unidirectional,7,232,"['page7-20.svg', 'page8-54.svg', 'page7-40.svg', 'page1-175.svg', 'page8-38.svg', 'page7-15.svg', 'page8-183.svg', 'page3-52.svg', 'page4-244.svg', 'page5-36.svg']",6.0,square with a scorpion tail,5.0,24.0,"(27,)",page7-40.svg,True
ZcWh2SAbYaKsBjERa,sSnvs4ot8piPFHoWX,9,1,page6-155.svg,False,1.0,high,single-utterance-unidirectional,164,125,"['page6-155.svg', 'page7-113.svg', 'page2-34.svg', 'page7-115.svg', 'page7-44.svg', 'page3-33.svg', 'page6-52.svg', 'page5-121.svg', 'page6-175.svg', 'page5-63.svg']",12.0,It looks like a giraffe facing left,7.0,26.0,"(34,)",page6-155.svg,True
nyKhaA53drqLC7Rzk,cabjZxYZBNvhmuNys,5,0,page6-109.svg,False,1.0,high,single-utterance-unidirectional,28,186,"['page6-245.svg', 'page6-107.svg', 'page4-142.svg', 'page7-177.svg', 'page8-18.svg', 'page5-80.svg', 'page7-217.svg', 'page5-155.svg', 'page2-131.svg', 'page6-109.svg']",8.0,a trapezoid with spiky triangles on the right side,9.0,23.0,"(48,)",page6-109.svg,True
CNAiKT7Av6y2oHwvy,L5AKpCGiRaFgLu4Gd,0,0,page5-71.svg,False,0.3833333333333333,low,single-utterance-unidirectional,205,36,"['page5-85.svg', 'page7-225.svg', 'page5-63.svg', 'page3-33.svg', 'page5-84.svg', 'page6-208.svg', 'page5-71.svg', 'page4-128.svg', 'page6-52.svg', 'page4-155.svg']",16.0,looks like an eagle head on top right,8.0,28.0,"(45,)",page5-71.svg,True
m6gdcycAbx6zidczq,wZm4bFAbejttd5K72,16,2,page5-65.svg,True,1.0,high,single-utterance-unidirectional,1,184,"['page6-196.svg', 'page4-98.svg', 'page5-80.svg', 'page4-96.svg', 'page6-52.svg', 'page2-85.svg', 'page6-109.svg', 'page5-65.svg', 'page3-33.svg', 'page7-41.svg']",13.0,The 4 mountains,3.0,22.0,"(27,)",page3-33.svg,False
